date,day_of_week,symbol,close
2016-01-04,1,AMZ-GY,592.9
2016-01-05,2,AMZ-GY,590.4
2016-01-06,3,AMZ-GY,591.6
2016-01-07,4,AMZ-GY,576
2016-01-08,5,AMZ-GY,561.5
2016-01-11,1,AMZ-GY,558.3
2016-01-12,2,AMZ-GY,573.1
2016-01-13,3,AMZ-GY,557.1
2016-01-14,4,AMZ-GY,545.1
2016-01-15,5,AMZ-GY,522.25
2016-01-18,1,AMZ-GY,525.55
2016-01-19,2,AMZ-GY,529.1
2016-01-20,3,AMZ-GY,504.399
2016-01-21,4,AMZ-GY,537.35
2016-01-22,5,AMZ-GY,547.7
2016-01-25,1,AMZ-GY,555
2016-01-26,2,AMZ-GY,545.55
2016-01-27,3,AMZ-GY,546.3
2016-01-28,4,AMZ-GY,558.9
2016-01-29,5,AMZ-GY,537.7
2016-02-01,1,AMZ-GY,530.85
2016-02-02,2,AMZ-GY,514
2016-02-03,3,AMZ-GY,481.6
2016-02-04,4,AMZ-GY,474.4
2016-02-05,5,AMZ-GY,455.05
2016-02-08,1,AMZ-GY,430.65
2016-02-09,2,AMZ-GY,431.9
2016-02-10,3,AMZ-GY,444.3
2016-02-11,4,AMZ-GY,435.2
2016-02-12,5,AMZ-GY,459.2
2016-02-15,1,AMZ-GY,465.8
2016-02-16,2,AMZ-GY,461.45
2016-02-17,3,AMZ-GY,477.9
2016-02-18,4,AMZ-GY,481.5
2016-02-19,5,AMZ-GY,476.2
2016-02-22,1,AMZ-GY,507.75
2016-02-23,2,AMZ-GY,497.15
2016-02-24,3,AMZ-GY,485.25
2016-02-25,4,AMZ-GY,498.05
2016-02-26,5,AMZ-GY,510.3
2016-02-29,1,AMZ-GY,514.6
2016-03-01,2,AMZ-GY,523.15
2016-03-02,3,AMZ-GY,534.5
2016-03-03,4,AMZ-GY,525.35
2016-03-04,5,AMZ-GY,526.35
2016-03-07,1,AMZ-GY,512.85
2016-03-08,2,AMZ-GY,510.85
2016-03-09,3,AMZ-GY,502.001
2016-03-10,4,AMZ-GY,499
2016-03-11,5,AMZ-GY,507.85
2016-03-14,1,AMZ-GY,517.2
2016-03-15,2,AMZ-GY,516.85
2016-03-16,3,AMZ-GY,518.95
2016-03-17,4,AMZ-GY,493.1
2016-03-18,5,AMZ-GY,490.35
2016-03-21,1,AMZ-GY,483.449
2016-03-22,2,AMZ-GY,497.85
2016-03-23,3,AMZ-GY,507.9
2016-03-24,4,AMZ-GY,517.65
2016-03-29,2,AMZ-GY,526
2016-03-30,3,AMZ-GY,526.9
2016-03-31,4,AMZ-GY,523.55
2016-04-01,5,AMZ-GY,524.65
2016-04-04,1,AMZ-GY,521.25
2016-04-05,2,AMZ-GY,518
